tanggal,komoditas,provinsi,harga
1/1/2022,Cabai Rawit Merah,Aceh,#DIV/0!
1/2/2022,Cabai Rawit Merah,Aceh,#DIV/0!
1/3/2022,Cabai Rawit Merah,Aceh,#DIV/0!
1/4/2022,Cabai Rawit Merah,Aceh,#DIV/0!
1/5/2022,Cabai Rawit Merah,Aceh,50000
1/6/2022,Cabai Rawit Merah,Aceh,50000
1/7/2022,Cabai Rawit Merah,Aceh,35000
1/8/2022,Cabai Rawit Merah,Aceh,50000
1/9/2022,Cabai Rawit Merah,Aceh,50000
1/10/2022,Cabai Rawit Merah,Aceh,50000
1/11/2022,Cabai Rawit Merah,Aceh,50000
1/12/2022,Cabai Rawit Merah,Aceh,45000
1/13/2022,Cabai Rawit Merah,Aceh,50000
1/14/2022,Cabai Rawit Merah,Aceh,44667
1/15/2022,Cabai Rawit Merah,Aceh,47000
1/16/2022,Cabai Rawit Merah,Aceh,47000
1/17/2022,Cabai Rawit Merah,Aceh,46667
1/18/2022,Cabai Rawit Merah,Aceh,46667
1/19/2022,Cabai Rawit Merah,Aceh,46667
1/20/2022,Cabai Rawit Merah,Aceh,50000
1/21/2022,Cabai Rawit Merah,Aceh,40000
1/22/2022,Cabai Rawit Merah,Aceh,52500
1/23/2022,Cabai Rawit Merah,Aceh,50000
1/24/2022,Cabai Rawit Merah,Aceh,46667
1/25/2022,Cabai Rawit Merah,Aceh,47500
1/26/2022,Cabai Rawit Merah,Aceh,44000
1/27/2022,Cabai Rawit Merah,Aceh,46500
1/28/2022,Cabai Rawit Merah,Aceh,46500
1/29/2022,Cabai Rawit Merah,Aceh,46500
1/30/2022,Cabai Rawit Merah,Aceh,46500
1/31/2022,Cabai Rawit Merah,Aceh,35000
2/1/2022,Cabai Rawit Merah,Aceh,50000
2/2/2022,Cabai Rawit Merah,Aceh,50000
2/3/2022,Cabai Rawit Merah,Aceh,50000
2/4/2022,Cabai Rawit Merah,Aceh,50000
2/5/2022,Cabai Rawit Merah,Aceh,50000
2/6/2022,Cabai Rawit Merah,Aceh,50000
2/7/2022,Cabai Rawit Merah,Aceh,50000
2/8/2022,Cabai Rawit Merah,Aceh,50000
2/9/2022,Cabai Rawit Merah,Aceh,46000
2/10/2022,Cabai Rawit Merah,Aceh,46000
2/11/2022,Cabai Rawit Merah,Aceh,46000
2/12/2022,Cabai Rawit Merah,Aceh,46000
2/13/2022,Cabai Rawit Merah,Aceh,52500
2/14/2022,Cabai Rawit Merah,Aceh,52500
2/15/2022,Cabai Rawit Merah,Aceh,49000
2/16/2022,Cabai Rawit Merah,Aceh,41500
2/17/2022,Cabai Rawit Merah,Aceh,46500
2/18/2022,Cabai Rawit Merah,Aceh,47500
2/19/2022,Cabai Rawit Merah,Aceh,47500
2/20/2022,Cabai Rawit Merah,Aceh,42500
2/21/2022,Cabai Rawit Merah,Aceh,45000
2/22/2022,Cabai Rawit Merah,Aceh,45000
2/23/2022,Cabai Rawit Merah,Aceh,42500
2/24/2022,Cabai Rawit Merah,Aceh,40500
2/25/2022,Cabai Rawit Merah,Aceh,40500
2/26/2022,Cabai Rawit Merah,Aceh,43000
2/27/2022,Cabai Rawit Merah,Aceh,49000
2/28/2022,Cabai Rawit Merah,Aceh,49000
3/1/2022,Cabai Rawit Merah,Aceh,45000
3/2/2022,Cabai Rawit Merah,Aceh,42500
3/3/2022,Cabai Rawit Merah,Aceh,49000
3/4/2022,Cabai Rawit Merah,Aceh,49000
3/5/2022,Cabai Rawit Merah,Aceh,45000
3/6/2022,Cabai Rawit Merah,Aceh,45000
3/7/2022,Cabai Rawit Merah,Aceh,55000
3/8/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/9/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/10/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/11/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/12/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/13/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/14/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/15/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/16/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/17/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/18/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/19/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/20/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/21/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/22/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/23/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/24/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/25/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/26/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/27/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/28/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/29/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/30/2022,Cabai Rawit Merah,Aceh,#DIV/0!
3/31/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/1/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/2/2022,Cabai Rawit Merah,Aceh,24000
4/3/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/4/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/5/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/6/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/7/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/8/2022,Cabai Rawit Merah,Aceh,40000
4/9/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/10/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/11/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/12/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/13/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/14/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/15/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/16/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/17/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/18/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/19/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/20/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/21/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/22/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/23/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/24/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/25/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/26/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/27/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/28/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/29/2022,Cabai Rawit Merah,Aceh,#DIV/0!
4/30/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/1/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/2/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/3/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/4/2022,Cabai Rawit Merah,Aceh,35000
5/5/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/6/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/7/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/8/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/9/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/10/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/11/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/12/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/13/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/14/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/15/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/16/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/17/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/18/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/19/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/20/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/21/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/22/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/23/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/24/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/25/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/26/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/27/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/28/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/29/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/30/2022,Cabai Rawit Merah,Aceh,#DIV/0!
5/31/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/1/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/2/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/3/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/4/2022,Cabai Rawit Merah,Aceh,45000
6/5/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/6/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/7/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/8/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/9/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/10/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/11/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/12/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/13/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/14/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/15/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/16/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/17/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/18/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/19/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/20/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/21/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/22/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/23/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/24/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/25/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/26/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/27/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/28/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/29/2022,Cabai Rawit Merah,Aceh,#DIV/0!
6/30/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/1/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/2/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/3/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/4/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/5/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/6/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/7/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/8/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/9/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/10/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/11/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/12/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/13/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/14/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/15/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/16/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/17/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/18/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/19/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/20/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/21/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/22/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/23/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/24/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/25/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/26/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/27/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/28/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/29/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/30/2022,Cabai Rawit Merah,Aceh,#DIV/0!
7/31/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/1/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/2/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/3/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/4/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/5/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/6/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/7/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/8/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/9/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/10/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/11/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/12/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/13/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/14/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/15/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/16/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/17/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/18/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/19/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/20/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/21/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/22/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/23/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/24/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/25/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/26/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/27/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/28/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/29/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/30/2022,Cabai Rawit Merah,Aceh,#DIV/0!
8/31/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/1/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/2/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/3/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/4/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/5/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/6/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/7/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/8/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/9/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/10/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/11/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/12/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/13/2022,Cabai Rawit Merah,Aceh,#DIV/0!
9/14/2022,Cabai Rawit Merah,Aceh,#DIV/0!
