Kode Provinsi,Nama Provinsi,Tahun,Bulan,Curah Hujan
11,Aceh,2022,Januari,5.19
11,Aceh,2022,Februari,12.42
11,Aceh,2022,Maret,4.47
11,Aceh,2022,April,4.2
11,Aceh,2022,Mei,3.42
11,Aceh,2022,Juni,8.1
11,Aceh,2022,Juli,2.72
11,Aceh,2022,Agustus,6.58
11,Aceh,2022,September,3.86
11,Aceh,2022,Oktober,12.85
11,Aceh,2022,November,9.84
11,Aceh,2022,Desember,13.43
12,Sumatera Utara,2022,Januari,2.35
12,Sumatera Utara,2022,Februari,7.74
12,Sumatera Utara,2022,Maret,5.17
12,Sumatera Utara,2022,April,1.58
12,Sumatera Utara,2022,Mei,4.79
12,Sumatera Utara,2022,Juni,8.23
12,Sumatera Utara,2022,Juli,3.93
12,Sumatera Utara,2022,Agustus,5.44
12,Sumatera Utara,2022,September,6.72
12,Sumatera Utara,2022,Oktober,8.43
12,Sumatera Utara,2022,November,13.34
12,Sumatera Utara,2022,Desember,11.95
13,Sumatera Barat,2022,Januari,7.2
13,Sumatera Barat,2022,Februari,12.98
13,Sumatera Barat,2022,Maret,9.01
13,Sumatera Barat,2022,April,10.77
13,Sumatera Barat,2022,Mei,6.46
13,Sumatera Barat,2022,Juni,14.52
13,Sumatera Barat,2022,Juli,6.86
13,Sumatera Barat,2022,Agustus,13.39
13,Sumatera Barat,2022,September,14.67
13,Sumatera Barat,2022,Oktober,17.16
13,Sumatera Barat,2022,November,18.01
13,Sumatera Barat,2022,Desember,12.09
14,Riau,2022,Januari,7.7
14,Riau,2022,Februari,6.9
14,Riau,2022,Maret,8.96
14,Riau,2022,April,8.33
14,Riau,2022,Mei,8.65
14,Riau,2022,Juni,16.93
14,Riau,2022,Juli,8.62
14,Riau,2022,Agustus,13.32
14,Riau,2022,September,13.21
14,Riau,2022,Oktober,15.84
14,Riau,2022,November,17.79
14,Riau,2022,Desember,16.39
15,Jambi,2022,Januari,5.6
15,Jambi,2022,Februari,9.56
15,Jambi,2022,Maret,6.05
15,Jambi,2022,April,5.85
15,Jambi,2022,Mei,5.11
15,Jambi,2022,Juni,11.43
15,Jambi,2022,Juli,5.28
15,Jambi,2022,Agustus,11.2
15,Jambi,2022,September,10.31
15,Jambi,2022,Oktober,14.04
15,Jambi,2022,November,14.95
15,Jambi,2022,Desember,8.98
16,Sumatera Selatan,2022,Januari,9.63
16,Sumatera Selatan,2022,Februari,6.9
16,Sumatera Selatan,2022,Maret,8.45
16,Sumatera Selatan,2022,April,7.21
16,Sumatera Selatan,2022,Mei,6.67
16,Sumatera Selatan,2022,Juni,6.96
16,Sumatera Selatan,2022,Juli,4.79
16,Sumatera Selatan,2022,Agustus,7.31
16,Sumatera Selatan,2022,September,6.78
16,Sumatera Selatan,2022,Oktober,12.93
16,Sumatera Selatan,2022,November,8.11
16,Sumatera Selatan,2022,Desember,8.12
17,Bengkulu,2022,Januari,6.33
17,Bengkulu,2022,Februari,5.89
17,Bengkulu,2022,Maret,4.17
17,Bengkulu,2022,April,5.83
17,Bengkulu,2022,Mei,7.02
17,Bengkulu,2022,Juni,11.77
17,Bengkulu,2022,Juli,6.39
17,Bengkulu,2022,Agustus,14.41
17,Bengkulu,2022,September,9.86
17,Bengkulu,2022,Oktober,12.93
17,Bengkulu,2022,November,11.92
17,Bengkulu,2022,Desember,6.42
18,Lampung,2022,Januari,10.21
18,Lampung,2022,Februari,6.93
18,Lampung,2022,Maret,3.94
18,Lampung,2022,April,5.89
18,Lampung,2022,Mei,6.29
18,Lampung,2022,Juni,4.33
18,Lampung,2022,Juli,2.65
18,Lampung,2022,Agustus,5.01
18,Lampung,2022,September,2.72
18,Lampung,2022,Oktober,6.19
18,Lampung,2022,November,4.4
18,Lampung,2022,Desember,7.37
19,Kepulauan Bangka Belitung,2022,Januari,10.49
19,Kepulauan Bangka Belitung,2022,Februari,6.55
19,Kepulauan Bangka Belitung,2022,Maret,8.05
19,Kepulauan Bangka Belitung,2022,April,9.2
19,Kepulauan Bangka Belitung,2022,Mei,5.78
