tanggal,komoditas,provinsi,harga
1/1/2022,Daging Sapi Murni,Aceh,151071
1/2/2022,Daging Sapi Murni,Aceh,151667
1/3/2022,Daging Sapi Murni,Aceh,150313
1/4/2022,Daging Sapi Murni,Aceh,148889
1/5/2022,Daging Sapi Murni,Aceh,147895
1/6/2022,Daging Sapi Murni,Aceh,148824
1/7/2022,Daging Sapi Murni,Aceh,149333
1/8/2022,Daging Sapi Murni,Aceh,149167
1/9/2022,Daging Sapi Murni,Aceh,150278
1/10/2022,Daging Sapi Murni,Aceh,150278
1/11/2022,Daging Sapi Murni,Aceh,150250
1/12/2022,Daging Sapi Murni,Aceh,149048
1/13/2022,Daging Sapi Murni,Aceh,149773
1/14/2022,Daging Sapi Murni,Aceh,149722
1/15/2022,Daging Sapi Murni,Aceh,149762
1/16/2022,Daging Sapi Murni,Aceh,149524
1/17/2022,Daging Sapi Murni,Aceh,149762
1/18/2022,Daging Sapi Murni,Aceh,149524
1/19/2022,Daging Sapi Murni,Aceh,149286
1/20/2022,Daging Sapi Murni,Aceh,149048
1/21/2022,Daging Sapi Murni,Aceh,148947
1/22/2022,Daging Sapi Murni,Aceh,148684
1/23/2022,Daging Sapi Murni,Aceh,149250
1/24/2022,Daging Sapi Murni,Aceh,149286
1/25/2022,Daging Sapi Murni,Aceh,148571
1/26/2022,Daging Sapi Murni,Aceh,148810
1/27/2022,Daging Sapi Murni,Aceh,148571
1/28/2022,Daging Sapi Murni,Aceh,148095
1/29/2022,Daging Sapi Murni,Aceh,150500
1/30/2022,Daging Sapi Murni,Aceh,148056
1/31/2022,Daging Sapi Murni,Aceh,149048
2/1/2022,Daging Sapi Murni,Aceh,148500
2/2/2022,Daging Sapi Murni,Aceh,148810
2/3/2022,Daging Sapi Murni,Aceh,148571
2/4/2022,Daging Sapi Murni,Aceh,148095
2/5/2022,Daging Sapi Murni,Aceh,148810
2/6/2022,Daging Sapi Murni,Aceh,149000
2/7/2022,Daging Sapi Murni,Aceh,148095
2/8/2022,Daging Sapi Murni,Aceh,148571
2/9/2022,Daging Sapi Murni,Aceh,148333
2/10/2022,Daging Sapi Murni,Aceh,148500
2/11/2022,Daging Sapi Murni,Aceh,147750
2/12/2022,Daging Sapi Murni,Aceh,148750
2/13/2022,Daging Sapi Murni,Aceh,148095
2/14/2022,Daging Sapi Murni,Aceh,148095
2/15/2022,Daging Sapi Murni,Aceh,148571
2/16/2022,Daging Sapi Murni,Aceh,148250
2/17/2022,Daging Sapi Murni,Aceh,149250
2/18/2022,Daging Sapi Murni,Aceh,146750
2/19/2022,Daging Sapi Murni,Aceh,147250
2/20/2022,Daging Sapi Murni,Aceh,146750
2/21/2022,Daging Sapi Murni,Aceh,147105
2/22/2022,Daging Sapi Murni,Aceh,146842
2/23/2022,Daging Sapi Murni,Aceh,146842
2/24/2022,Daging Sapi Murni,Aceh,147632
2/25/2022,Daging Sapi Murni,Aceh,146500
2/26/2022,Daging Sapi Murni,Aceh,147105
2/27/2022,Daging Sapi Murni,Aceh,146750
2/28/2022,Daging Sapi Murni,Aceh,147222
3/1/2022,Daging Sapi Murni,Aceh,147250
3/2/2022,Daging Sapi Murni,Aceh,147250
3/3/2022,Daging Sapi Murni,Aceh,147368
3/4/2022,Daging Sapi Murni,Aceh,147000
3/5/2022,Daging Sapi Murni,Aceh,147895
3/6/2022,Daging Sapi Murni,Aceh,147750
3/7/2022,Daging Sapi Murni,Aceh,147368
3/8/2022,Daging Sapi Murni,Aceh,147632
3/9/2022,Daging Sapi Murni,Aceh,147105
3/10/2022,Daging Sapi Murni,Aceh,147000
3/11/2022,Daging Sapi Murni,Aceh,146750
3/12/2022,Daging Sapi Murni,Aceh,147368
3/13/2022,Daging Sapi Murni,Aceh,147105
3/14/2022,Daging Sapi Murni,Aceh,147750
3/15/2022,Daging Sapi Murni,Aceh,148250
3/16/2022,Daging Sapi Murni,Aceh,148611
3/17/2022,Daging Sapi Murni,Aceh,148250
3/18/2022,Daging Sapi Murni,Aceh,147750
3/19/2022,Daging Sapi Murni,Aceh,148421
3/20/2022,Daging Sapi Murni,Aceh,148500
3/21/2022,Daging Sapi Murni,Aceh,149583
3/22/2022,Daging Sapi Murni,Aceh,147941
3/23/2022,Daging Sapi Murni,Aceh,148000
3/24/2022,Daging Sapi Murni,Aceh,148000
3/25/2022,Daging Sapi Murni,Aceh,147368
3/26/2022,Daging Sapi Murni,Aceh,148500
3/27/2022,Daging Sapi Murni,Aceh,148500
3/28/2022,Daging Sapi Murni,Aceh,148750
3/29/2022,Daging Sapi Murni,Aceh,149750
3/30/2022,Daging Sapi Murni,Aceh,157381
3/31/2022,Daging Sapi Murni,Aceh,167391
4/1/2022,Daging Sapi Murni,Aceh,167143
4/2/2022,Daging Sapi Murni,Aceh,162647
4/3/2022,Daging Sapi Murni,Aceh,153056
4/4/2022,Daging Sapi Murni,Aceh,148333
4/5/2022,Daging Sapi Murni,Aceh,148611
4/6/2022,Daging Sapi Murni,Aceh,149167
4/7/2022,Daging Sapi Murni,Aceh,149211
4/8/2022,Daging Sapi Murni,Aceh,149167
4/9/2022,Daging Sapi Murni,Aceh,149250
4/10/2022,Daging Sapi Murni,Aceh,149167
4/11/2022,Daging Sapi Murni,Aceh,149000
4/12/2022,Daging Sapi Murni,Aceh,148611
4/13/2022,Daging Sapi Murni,Aceh,148889
4/14/2022,Daging Sapi Murni,Aceh,148611
4/15/2022,Daging Sapi Murni,Aceh,148438
4/16/2022,Daging Sapi Murni,Aceh,149688
4/17/2022,Daging Sapi Murni,Aceh,149412
4/18/2022,Daging Sapi Murni,Aceh,148611
4/19/2022,Daging Sapi Murni,Aceh,149250
4/20/2022,Daging Sapi Murni,Aceh,148750
4/21/2022,Daging Sapi Murni,Aceh,149737
4/22/2022,Daging Sapi Murni,Aceh,149722
4/23/2022,Daging Sapi Murni,Aceh,150000
4/24/2022,Daging Sapi Murni,Aceh,150000
4/25/2022,Daging Sapi Murni,Aceh,151842
4/26/2022,Daging Sapi Murni,Aceh,153056
4/27/2022,Daging Sapi Murni,Aceh,153611
4/28/2022,Daging Sapi Murni,Aceh,153611
4/29/2022,Daging Sapi Murni,Aceh,157778
4/30/2022,Daging Sapi Murni,Aceh,166000
5/1/2022,Daging Sapi Murni,Aceh,173182
5/2/2022,Daging Sapi Murni,Aceh,163000
5/3/2022,Daging Sapi Murni,Aceh,157083
5/4/2022,Daging Sapi Murni,Aceh,156429
5/5/2022,Daging Sapi Murni,Aceh,152667
5/6/2022,Daging Sapi Murni,Aceh,151875
5/7/2022,Daging Sapi Murni,Aceh,151875
5/8/2022,Daging Sapi Murni,Aceh,151250
5/9/2022,Daging Sapi Murni,Aceh,151579
5/10/2022,Daging Sapi Murni,Aceh,150000
5/11/2022,Daging Sapi Murni,Aceh,150526
5/12/2022,Daging Sapi Murni,Aceh,150526
5/13/2022,Daging Sapi Murni,Aceh,150000
5/14/2022,Daging Sapi Murni,Aceh,150556
5/15/2022,Daging Sapi Murni,Aceh,151053
5/16/2022,Daging Sapi Murni,Aceh,151111
5/17/2022,Daging Sapi Murni,Aceh,151579
5/18/2022,Daging Sapi Murni,Aceh,151111
5/19/2022,Daging Sapi Murni,Aceh,152632
5/20/2022,Daging Sapi Murni,Aceh,152353
5/21/2022,Daging Sapi Murni,Aceh,151667
5/22/2022,Daging Sapi Murni,Aceh,150625
5/23/2022,Daging Sapi Murni,Aceh,152105
5/24/2022,Daging Sapi Murni,Aceh,152105
5/25/2022,Daging Sapi Murni,Aceh,151765
5/26/2022,Daging Sapi Murni,Aceh,151579
5/27/2022,Daging Sapi Murni,Aceh,150588
5/28/2022,Daging Sapi Murni,Aceh,153529
5/29/2022,Daging Sapi Murni,Aceh,151111
