tanggal,hbkn,keterangan
1/1/2022,1,nataru
1/2/2022,0,tidak ada
1/3/2022,0,tidak ada
1/4/2022,0,tidak ada
1/5/2022,0,tidak ada
1/6/2022,0,tidak ada
1/7/2022,0,tidak ada
1/8/2022,0,tidak ada
1/9/2022,0,tidak ada
1/10/2022,0,tidak ada
1/11/2022,0,tidak ada
1/12/2022,0,tidak ada
1/13/2022,0,tidak ada
1/14/2022,0,tidak ada
1/15/2022,0,tidak ada
1/16/2022,0,tidak ada
1/17/2022,0,tidak ada
1/18/2022,0,tidak ada
1/19/2022,0,tidak ada
1/20/2022,0,tidak ada
1/21/2022,0,tidak ada
1/22/2022,0,tidak ada
1/23/2022,0,tidak ada
1/24/2022,0,tidak ada
1/25/2022,0,tidak ada
1/26/2022,0,tidak ada
1/27/2022,0,tidak ada
1/28/2022,0,tidak ada
1/29/2022,0,tidak ada
1/30/2022,0,tidak ada
1/31/2022,0,tidak ada
2/1/2022,0,tidak ada
2/2/2022,0,tidak ada
2/3/2022,0,tidak ada
2/4/2022,0,tidak ada
2/5/2022,0,tidak ada
2/6/2022,0,tidak ada
2/7/2022,0,tidak ada
2/8/2022,0,tidak ada
2/9/2022,0,tidak ada
2/10/2022,0,tidak ada
2/11/2022,0,tidak ada
2/12/2022,0,tidak ada
2/13/2022,0,tidak ada
2/14/2022,0,tidak ada
2/15/2022,0,tidak ada
2/16/2022,0,tidak ada
2/17/2022,0,tidak ada
2/18/2022,0,tidak ada
2/19/2022,0,tidak ada
2/20/2022,0,tidak ada
2/21/2022,0,tidak ada
2/22/2022,0,tidak ada
2/23/2022,0,tidak ada
2/24/2022,0,tidak ada
2/25/2022,0,tidak ada
2/26/2022,0,tidak ada
2/27/2022,0,tidak ada
2/28/2022,0,tidak ada
3/1/2022,0,tidak ada
3/2/2022,0,tidak ada
3/3/2022,0,tidak ada
3/4/2022,0,tidak ada
3/5/2022,0,tidak ada
3/6/2022,0,tidak ada
