Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga (Rp)
11,Aceh,Cabai Rawit Merah,2022,Januari,
12,Sumatera Utara,Cabai Rawit Merah,2022,Januari,"Rp32,200"
13,Sumatera Barat,Cabai Rawit Merah,2022,Januari,"Rp48,125"
14,Riau,Cabai Rawit Merah,2022,Januari,
15,Jambi,Cabai Rawit Merah,2022,Januari,"Rp25,000"
16,Sumatera Selatan,Cabai Rawit Merah,2022,Januari,"Rp55,000"
17,Bengkulu,Cabai Rawit Merah,2022,Januari,
18,Lampung,Cabai Rawit Merah,2022,Januari,"Rp39,455"
21,Kepulauan Riau,Cabai Rawit Merah,2022,Januari,
32,Jawa Barat,Cabai Rawit Merah,2022,Januari,"Rp40,094"
33,Jawa Tengah,Cabai Rawit Merah,2022,Januari,"Rp28,999"
34,D.I Yogyakarta,Cabai Rawit Merah,2022,Januari,"Rp29,759"
35,Jawa Timur,Cabai Rawit Merah,2022,Januari,"Rp27,433"
36,Banten,Cabai Rawit Merah,2022,Januari,
51,Bali,Cabai Rawit Merah,2022,Januari,"Rp30,663"
52,Nusa Tenggara Barat,Cabai Rawit Merah,2022,Januari,"Rp34,163"
53,Nusa Tenggara Timur,Cabai Rawit Merah,2022,Januari,
61,Kalimantan Barat,Cabai Rawit Merah,2022,Januari,"Rp71,761"
62,Kalimantan Tengah,Cabai Rawit Merah,2022,Januari,
63,Kalimantan Selatan,Cabai Rawit Merah,2022,Januari,
64,Kalimantan Timur,Cabai Rawit Merah,2022,Januari,
71,Sulawesi Utara,Cabai Rawit Merah,2022,Januari,"Rp43,168"
72,Sulawesi Tengah,Cabai Rawit Merah,2022,Januari,"Rp32,315"
73,Sulawesi Selatan,Cabai Rawit Merah,2022,Januari,"Rp26,966"
74,Sulawesi Tenggara,Cabai Rawit Merah,2022,Januari,
75,Gorontalo,Cabai Rawit Merah,2022,Januari,
76,Sulawesi Barat,Cabai Rawit Merah,2022,Januari,
11,Aceh,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp51,269"
12,Sumatera Utara,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp47,418"
13,Sumatera Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp51,804"
14,Riau,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp49,200"
15,Jambi,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp51,768"
16,Sumatera Selatan,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp47,707"
17,Bengkulu,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp50,000"
18,Lampung,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp49,047"
21,Kepulauan Riau,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,
32,Jawa Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp49,804"
33,Jawa Tengah,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp47,320"
34,D.I Yogyakarta,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp45,737"
35,Jawa Timur,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp48,283"
36,Banten,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp53,500"
51,Bali,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp41,657"
52,Nusa Tenggara Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp46,654"
53,Nusa Tenggara Timur,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp45,357"
61,Kalimantan Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,
62,Kalimantan Tengah,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,
63,Kalimantan Selatan,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,
64,Kalimantan Timur,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,
71,Sulawesi Utara,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,
72,Sulawesi Tengah,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp53,250"
73,Sulawesi Selatan,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp53,005"
74,Sulawesi Tenggara,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp49,000"
75,Gorontalo,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,"Rp45,055"
76,Sulawesi Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,Januari,
11,Aceh,Ayam Ras Pedaging,2022,Januari,
12,Sumatera Utara,Ayam Ras Pedaging,2022,Januari,"Rp23,020"
