Kode Provinsi,Nama Provinsi,Komoditas,Bulan,Tahun,Produksi (Ton),Harga
11,ACEH,Cabai Rawit Merah,Januari,2022,6961,"Rp46,646"
12,SUMATERA UTARA,Cabai Rawit Merah,Januari,2022,7823,"Rp59,424"
13,SUMATERA BARAT,Cabai Rawit Merah,Januari,2022,3163,"Rp52,000"
14,RIAU,Cabai Rawit Merah,Januari,2022,790,"Rp44,200"
15,JAMBI,Cabai Rawit Merah,Januari,2022,1205,"Rp53,293"
16,SUMATERA SELATAN,Cabai Rawit Merah,Januari,2022,1507,"Rp55,506"
17,BENGKULU,Cabai Rawit Merah,Januari,2022,1920,"Rp50,950"
18,LAMPUNG,Cabai Rawit Merah,Januari,2022,853,"Rp53,867"
19,KEPULAUAN BANGKA BELITUNG,Cabai Rawit Merah,Januari,2022,271,"Rp91,944"
21,KEPULAUAN RIAU,Cabai Rawit Merah,Januari,2022,160,"Rp82,610"
31,DKI JAKARTA,Cabai Rawit Merah,Januari,2022,,"Rp67,396"
32,JAWA BARAT,Cabai Rawit Merah,Januari,2022,13349,"Rp59,479"
33,JAWA TENGAH,Cabai Rawit Merah,Januari,2022,15534,"Rp39,982"
34,DI YOGYAKARTA,Cabai Rawit Merah,Januari,2022,1184,"Rp41,188"
35,JAWA TIMUR,Cabai Rawit Merah,Januari,2022,42444,"Rp38,204"
36,BANTEN,Cabai Rawit Merah,Januari,2022,241,"Rp56,052"
51,BALI,Cabai Rawit Merah,Januari,2022,1514,"Rp44,668"
52,NUSA TENGGARA BARAT,Cabai Rawit Merah,Januari,2022,3379,"Rp38,509"
53,NUSA TENGGARA TIMUR,Cabai Rawit Merah,Januari,2022,907,"Rp50,033"
61,KALIMANTAN BARAT,Cabai Rawit Merah,Januari,2022,592,"Rp100,249"
62,KALIMANTAN TENGAH,Cabai Rawit Merah,Januari,2022,481,"Rp88,880"
63,KALIMANTAN SELATAN,Cabai Rawit Merah,Januari,2022,765,"Rp81,015"
64,KALIMANTAN TIMUR,Cabai Rawit Merah,Januari,2022,640,"Rp70,708"
65,KALIMANTAN UTARA,Cabai Rawit Merah,Januari,2022,521,"Rp77,112"
71,SULAWESI UTARA,Cabai Rawit Merah,Januari,2022,1646,"Rp52,983"
72,SULAWESI TENGAH,Cabai Rawit Merah,Januari,2022,1736,"Rp54,393"
73,SULAWESI SELATAN,Cabai Rawit Merah,Januari,2022,1999,"Rp43,518"
74,SULAWESI TENGGARA,Cabai Rawit Merah,Januari,2022,267,"Rp62,635"
75,GORONTALO,Cabai Rawit Merah,Januari,2022,1247,"Rp46,378"
76,SULAWESI BARAT,Cabai Rawit Merah,Januari,2022,360,"Rp50,941"
81,MALUKU,Cabai Rawit Merah,Januari,2022,416,"Rp102,174"
82,MALUKU UTARA,Cabai Rawit Merah,Januari,2022,321,"Rp81,083"
91,PAPUA BARAT,Cabai Rawit Merah,Januari,2022,271,"Rp86,547"
94,PAPUA,Cabai Rawit Merah,Januari,2022,1053,"Rp90,293"
95,PAPUA PEGUNUNGAN,Cabai Rawit Merah,Januari,2022,0,
11,ACEH,Daging Ayam Ras,Januari,2022,4138,"Rp32,556"
12,SUMATERA UTARA,Daging Ayam Ras,Januari,2022,17991,"Rp37,036"
13,SUMATERA BARAT,Daging Ayam Ras,Januari,2022,4439,"Rp33,681"
14,RIAU,Daging Ayam Ras,Januari,2022,4796,"Rp37,743"
15,JAMBI,Daging Ayam Ras,Januari,2022,4343,"Rp42,119"
16,SUMATERA SELATAN,Daging Ayam Ras,Januari,2022,10888,"Rp35,987"
17,BENGKULU,Daging Ayam Ras,Januari,2022,1125,"Rp43,418"
18,LAMPUNG,Daging Ayam Ras,Januari,2022,10904,"Rp33,629"
19,KEPULAUAN BANGKA BELITUNG,Daging Ayam Ras,Januari,2022,2475,"Rp41,647"
21,KEPULAUAN RIAU,Daging Ayam Ras,Januari,2022,1898,"Rp40,036"
31,DKI JAKARTA,Daging Ayam Ras,Januari,2022,,"Rp37,240"
32,JAWA BARAT,Daging Ayam Ras,Januari,2022,58704,"Rp37,339"
33,JAWA TENGAH,Daging Ayam Ras,Januari,2022,62620,"Rp36,193"
34,DI YOGYAKARTA,Daging Ayam Ras,Januari,2022,6572,"Rp35,887"
35,JAWA TIMUR,Daging Ayam Ras,Januari,2022,44995,"Rp36,122"
36,BANTEN,Daging Ayam Ras,Januari,2022,12844,"Rp37,151"
51,BALI,Daging Ayam Ras,Januari,2022,7146,"Rp41,086"
52,NUSA TENGGARA BARAT,Daging Ayam Ras,Januari,2022,3236,"Rp43,757"
53,NUSA TENGGARA TIMUR,Daging Ayam Ras,Januari,2022,1022,"Rp46,262"
